tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.85,0.4,0.9,0.1,1.0,970,0.05385298689762381,0.9979381443298969
0.85,0.4,0.9,0.15,1.0,970,0.05385298689762381,0.9979381443298969
0.85,0.4,0.9,0.2,1.0,970,0.05385298689762381,0.9979381443298969
0.9,0.4,0.9,0.1,1.0,970,0.05385298689762381,0.9979381443298969
0.9,0.4,0.9,0.15,1.0,970,0.05385298689762381,0.9979381443298969
0.9,0.4,0.9,0.2,1.0,970,0.05385298689762381,0.9979381443298969
0.85,0.4,0.8,0.1,1.0,1091,0.06057073062402842,0.997250229147571
0.85,0.4,0.8,0.15,1.0,1091,0.06057073062402842,0.997250229147571
0.85,0.4,0.8,0.2,1.0,1091,0.06057073062402842,0.997250229147571
0.9,0.4,0.8,0.1,1.0,1091,0.06057073062402842,0.997250229147571
0.9,0.4,0.8,0.15,1.0,1091,0.06057073062402842,0.997250229147571
0.9,0.4,0.8,0.2,1.0,1091,0.06057073062402842,0.997250229147571
0.85,0.4,0.7,0.1,1.0,1103,0.061236953142349546,0.9963735267452403
0.85,0.4,0.7,0.15,1.0,1103,0.061236953142349546,0.9963735267452403
0.85,0.4,0.7,0.2,1.0,1103,0.061236953142349546,0.9963735267452403
0.9,0.4,0.7,0.1,1.0,1103,0.061236953142349546,0.9963735267452403
0.9,0.4,0.7,0.15,1.0,1103,0.061236953142349546,0.9963735267452403
0.9,0.4,0.7,0.2,1.0,1103,0.061236953142349546,0.9963735267452403
0.85,0.4,0.9,0.1,0.8,986,0.05474128358871863,0.9939148073022313
0.85,0.4,0.9,0.15,0.8,986,0.05474128358871863,0.9939148073022313
0.85,0.4,0.9,0.2,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.4,0.9,0.1,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.4,0.9,0.15,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.4,0.9,0.2,0.8,986,0.05474128358871863,0.9939148073022313
0.9,0.6,0.8,0.1,1.0,5919,0.3286142571618921,0.9898631525595539
0.9,0.6,0.8,0.15,1.0,5919,0.3286142571618921,0.9898631525595539
0.9,0.6,0.8,0.2,1.0,5919,0.3286142571618921,0.9898631525595539
0.9,0.6,0.7,0.1,1.0,5984,0.3322229624694648,0.9898061497326203
0.9,0.6,0.7,0.15,1.0,5984,0.3322229624694648,0.9898061497326203
0.9,0.6,0.7,0.2,1.0,5984,0.3322229624694648,0.9898061497326203
0.9,0.6,0.9,0.1,1.0,5472,0.3037974683544304,0.9895833333333334
0.9,0.6,0.9,0.15,1.0,5472,0.3037974683544304,0.9895833333333334
0.9,0.6,0.9,0.2,1.0,5472,0.3037974683544304,0.9895833333333334
0.85,0.4,0.8,0.1,0.8,1133,0.06290250943815234,0.9894086496028244
0.85,0.4,0.8,0.15,0.8,1133,0.06290250943815234,0.9894086496028244
0.85,0.4,0.8,0.2,0.8,1133,0.06290250943815234,0.9894086496028244
0.9,0.4,0.8,0.1,0.8,1133,0.06290250943815234,0.9894086496028244
0.9,0.4,0.8,0.15,0.8,1133,0.06290250943815234,0.9894086496028244
0.9,0.4,0.8,0.2,0.8,1133,0.06290250943815234,0.9894086496028244
0.85,0.4,0.9,0.1,0.6,993,0.05512991339107262,0.9889224572004028
0.85,0.4,0.9,0.15,0.6,993,0.05512991339107262,0.9889224572004028
0.85,0.4,0.9,0.2,0.6,993,0.05512991339107262,0.9889224572004028
0.9,0.4,0.9,0.1,0.6,993,0.05512991339107262,0.9889224572004028
0.9,0.4,0.9,0.15,0.6,993,0.05512991339107262,0.9889224572004028
0.9,0.4,0.9,0.2,0.6,993,0.05512991339107262,0.9889224572004028
0.85,0.4,0.7,0.1,0.8,1146,0.06362425049966688,0.9886561954624782
0.85,0.4,0.7,0.15,0.8,1146,0.06362425049966688,0.9886561954624782
0.85,0.4,0.7,0.2,0.8,1146,0.06362425049966688,0.9886561954624782
0.9,0.4,0.7,0.1,0.8,1146,0.06362425049966688,0.9886561954624782
0.9,0.4,0.7,0.15,0.8,1146,0.06362425049966688,0.9886561954624782
0.9,0.4,0.7,0.2,0.8,1146,0.06362425049966688,0.9886561954624782
0.85,0.6,0.7,0.1,1.0,7083,0.3932378414390406,0.9843286742905548
0.85,0.6,0.7,0.15,1.0,7083,0.3932378414390406,0.9843286742905548
0.85,0.6,0.7,0.2,1.0,7083,0.3932378414390406,0.9843286742905548
0.85,0.6,0.8,0.1,1.0,6993,0.38824117255163226,0.9842699842699842
0.85,0.6,0.8,0.15,1.0,6993,0.38824117255163226,0.9842699842699842
0.85,0.6,0.8,0.2,1.0,6993,0.38824117255163226,0.9842699842699842
0.85,0.6,0.9,0.1,1.0,6448,0.35798356651121477,0.9837158808933002
0.85,0.6,0.9,0.15,1.0,6448,0.35798356651121477,0.9837158808933002
0.85,0.6,0.9,0.2,1.0,6448,0.35798356651121477,0.9837158808933002
0.85,0.4,0.8,0.1,0.6,1153,0.06401288030202087,0.9791847354726799
0.85,0.4,0.8,0.15,0.6,1153,0.06401288030202087,0.9791847354726799
0.85,0.4,0.8,0.2,0.6,1153,0.06401288030202087,0.9791847354726799
0.9,0.4,0.8,0.1,0.6,1153,0.06401288030202087,0.9791847354726799
0.9,0.4,0.8,0.15,0.6,1153,0.06401288030202087,0.9791847354726799
0.9,0.4,0.8,0.2,0.6,1153,0.06401288030202087,0.9791847354726799
0.85,0.4,0.7,0.1,0.6,1166,0.06473462136353542,0.9785591766723842
0.85,0.4,0.7,0.15,0.6,1166,0.06473462136353542,0.9785591766723842
0.85,0.4,0.7,0.2,0.6,1166,0.06473462136353542,0.9785591766723842
0.9,0.4,0.7,0.1,0.6,1166,0.06473462136353542,0.9785591766723842
0.9,0.4,0.7,0.15,0.6,1166,0.06473462136353542,0.9785591766723842
0.9,0.4,0.7,0.2,0.6,1166,0.06473462136353542,0.9785591766723842
0.9,0.6,0.9,0.1,0.8,5827,0.32350655118809685,0.9663634803500943
0.9,0.6,0.9,0.15,0.8,5827,0.32350655118809685,0.9663634803500943
0.9,0.6,0.9,0.2,0.8,5827,0.32350655118809685,0.9663634803500943
0.9,0.6,0.8,0.1,0.8,6370,0.35365312014212746,0.9657770800627944
0.9,0.6,0.8,0.15,0.8,6370,0.35365312014212746,0.9657770800627944
0.9,0.6,0.8,0.2,0.8,6370,0.35365312014212746,0.9657770800627944
0.9,0.6,0.7,0.1,0.8,6442,0.3576504552520542,0.9656938838869916
0.9,0.6,0.7,0.15,0.8,6442,0.3576504552520542,0.9656938838869916
0.9,0.6,0.7,0.2,0.8,6442,0.3576504552520542,0.9656938838869916
0.9,0.6,0.9,0.1,0.6,5896,0.3273373306684433,0.9606512890094979
0.9,0.6,0.9,0.15,0.6,5896,0.3273373306684433,0.9606512890094979
0.9,0.6,0.9,0.2,0.6,5896,0.3273373306684433,0.9606512890094979
0.9,0.6,0.8,0.1,0.6,6488,0.36020430823895183,0.9579223181257707
0.9,0.6,0.8,0.15,0.6,6488,0.36020430823895183,0.9579223181257707
0.9,0.6,0.8,0.2,0.6,6488,0.36020430823895183,0.9579223181257707
0.9,0.6,0.7,0.1,0.6,6564,0.36442371752165226,0.9576477757464961
0.9,0.6,0.7,0.15,0.6,6564,0.36442371752165226,0.9576477757464961
0.9,0.6,0.7,0.2,0.6,6564,0.36442371752165226,0.9576477757464961
0.85,0.6,0.9,0.1,0.8,7051,0.391461248056851,0.953198127925117
0.85,0.6,0.9,0.15,0.8,7051,0.391461248056851,0.953198127925117
0.85,0.6,0.9,0.2,0.8,7051,0.391461248056851,0.953198127925117
0.85,0.6,0.7,0.2,0.8,7834,0.434932267377304,0.9528976257339801
0.85,0.6,0.7,0.1,0.8,7836,0.4350433044636909,0.9527820316488004
0.85,0.6,0.7,0.15,0.8,7836,0.4350433044636909,0.9527820316488004
0.85,0.6,0.8,0.1,0.8,7738,0.4296024872307351,0.9527009563194624
0.85,0.6,0.8,0.15,0.8,7738,0.4296024872307351,0.9527009563194624
0.85,0.6,0.8,0.2,0.8,7737,0.42954696868754166,0.9526948429623885
0.85,0.6,0.9,0.1,0.6,7207,0.40012214079502556,0.9435271264048841
0.85,0.6,0.9,0.15,0.6,7207,0.40012214079502556,0.9435271264048841
0.85,0.6,0.9,0.2,0.6,7207,0.40012214079502556,0.9435271264048841
0.85,0.6,0.8,0.1,0.6,7983,0.44320453031312457,0.9403732932481523
0.85,0.6,0.8,0.15,0.6,7983,0.44320453031312457,0.9403732932481523
0.85,0.6,0.8,0.2,0.6,7982,0.44314901176993116,0.9403658231019795
0.85,0.6,0.7,0.2,0.6,8087,0.44897845880524095,0.940274514653147
0.85,0.6,0.7,0.1,0.6,8090,0.44914501443482124,0.9400494437577256
0.85,0.6,0.7,0.15,0.6,8090,0.44914501443482124,0.9400494437577256
0.85,0.3,0.7,0.1,0.6,2,0.00011103708638685321,0.5
0.85,0.3,0.7,0.1,0.8,2,0.00011103708638685321,0.5
0.85,0.3,0.7,0.15,0.6,2,0.00011103708638685321,0.5
0.85,0.3,0.7,0.15,0.8,2,0.00011103708638685321,0.5
0.85,0.3,0.7,0.2,0.6,2,0.00011103708638685321,0.5
0.85,0.3,0.7,0.2,0.8,2,0.00011103708638685321,0.5
0.9,0.3,0.7,0.1,0.6,2,0.00011103708638685321,0.5
0.9,0.3,0.7,0.1,0.8,2,0.00011103708638685321,0.5
0.9,0.3,0.7,0.15,0.6,2,0.00011103708638685321,0.5
0.9,0.3,0.7,0.15,0.8,2,0.00011103708638685321,0.5
0.9,0.3,0.7,0.2,0.6,2,0.00011103708638685321,0.5
0.9,0.3,0.7,0.2,0.8,2,0.00011103708638685321,0.5
0.95,0.3,0.7,0.1,0.6,2,0.00011103708638685321,0.5
0.95,0.3,0.7,0.1,0.8,2,0.00011103708638685321,0.5
0.95,0.3,0.7,0.15,0.6,2,0.00011103708638685321,0.5
0.95,0.3,0.7,0.15,0.8,2,0.00011103708638685321,0.5
0.95,0.3,0.7,0.2,0.6,2,0.00011103708638685321,0.5
0.95,0.3,0.7,0.2,0.8,2,0.00011103708638685321,0.5
0.95,0.4,0.7,0.1,0.6,2,0.00011103708638685321,0.5
0.95,0.4,0.7,0.1,0.8,2,0.00011103708638685321,0.5
0.95,0.4,0.7,0.15,0.6,2,0.00011103708638685321,0.5
0.95,0.4,0.7,0.15,0.8,2,0.00011103708638685321,0.5
0.95,0.4,0.7,0.2,0.6,2,0.00011103708638685321,0.5
0.95,0.4,0.7,0.2,0.8,2,0.00011103708638685321,0.5
0.95,0.6,0.7,0.1,0.6,2,0.00011103708638685321,0.5
0.95,0.6,0.7,0.1,0.8,2,0.00011103708638685321,0.5
0.95,0.6,0.7,0.15,0.6,2,0.00011103708638685321,0.5
0.95,0.6,0.7,0.15,0.8,2,0.00011103708638685321,0.5
0.95,0.6,0.7,0.2,0.6,2,0.00011103708638685321,0.5
0.95,0.6,0.7,0.2,0.8,2,0.00011103708638685321,0.5
0.85,0.3,0.7,0.1,1.0,1,5.5518543193426606e-05,0.0
0.85,0.3,0.7,0.15,1.0,1,5.5518543193426606e-05,0.0
0.85,0.3,0.7,0.2,1.0,1,5.5518543193426606e-05,0.0
0.9,0.3,0.7,0.1,1.0,1,5.5518543193426606e-05,0.0
0.9,0.3,0.7,0.15,1.0,1,5.5518543193426606e-05,0.0
0.9,0.3,0.7,0.2,1.0,1,5.5518543193426606e-05,0.0
0.95,0.3,0.7,0.1,1.0,1,5.5518543193426606e-05,0.0
0.95,0.3,0.7,0.15,1.0,1,5.5518543193426606e-05,0.0
0.95,0.3,0.7,0.2,1.0,1,5.5518543193426606e-05,0.0
0.95,0.4,0.7,0.1,1.0,1,5.5518543193426606e-05,0.0
0.95,0.4,0.7,0.15,1.0,1,5.5518543193426606e-05,0.0
0.95,0.4,0.7,0.2,1.0,1,5.5518543193426606e-05,0.0
0.95,0.6,0.7,0.1,1.0,1,5.5518543193426606e-05,0.0
0.95,0.6,0.7,0.15,1.0,1,5.5518543193426606e-05,0.0
0.95,0.6,0.7,0.2,1.0,1,5.5518543193426606e-05,0.0
0.85,0.3,0.8,0.1,0.6,0,0.0,0.0
0.85,0.3,0.8,0.1,0.8,0,0.0,0.0
0.85,0.3,0.8,0.1,1.0,0,0.0,0.0
0.85,0.3,0.8,0.15,0.6,0,0.0,0.0
0.85,0.3,0.8,0.15,0.8,0,0.0,0.0
0.85,0.3,0.8,0.15,1.0,0,0.0,0.0
0.85,0.3,0.8,0.2,0.6,0,0.0,0.0
0.85,0.3,0.8,0.2,0.8,0,0.0,0.0
0.85,0.3,0.8,0.2,1.0,0,0.0,0.0
0.85,0.3,0.9,0.1,0.6,0,0.0,0.0
0.85,0.3,0.9,0.1,0.8,0,0.0,0.0
0.85,0.3,0.9,0.1,1.0,0,0.0,0.0
0.85,0.3,0.9,0.15,0.6,0,0.0,0.0
0.85,0.3,0.9,0.15,0.8,0,0.0,0.0
0.85,0.3,0.9,0.15,1.0,0,0.0,0.0
0.85,0.3,0.9,0.2,0.6,0,0.0,0.0
0.85,0.3,0.9,0.2,0.8,0,0.0,0.0
0.85,0.3,0.9,0.2,1.0,0,0.0,0.0
0.9,0.3,0.8,0.1,0.6,0,0.0,0.0
0.9,0.3,0.8,0.1,0.8,0,0.0,0.0
0.9,0.3,0.8,0.1,1.0,0,0.0,0.0
0.9,0.3,0.8,0.15,0.6,0,0.0,0.0
0.9,0.3,0.8,0.15,0.8,0,0.0,0.0
0.9,0.3,0.8,0.15,1.0,0,0.0,0.0
0.9,0.3,0.8,0.2,0.6,0,0.0,0.0
0.9,0.3,0.8,0.2,0.8,0,0.0,0.0
0.9,0.3,0.8,0.2,1.0,0,0.0,0.0
0.9,0.3,0.9,0.1,0.6,0,0.0,0.0
0.9,0.3,0.9,0.1,0.8,0,0.0,0.0
0.9,0.3,0.9,0.1,1.0,0,0.0,0.0
0.9,0.3,0.9,0.15,0.6,0,0.0,0.0
0.9,0.3,0.9,0.15,0.8,0,0.0,0.0
0.9,0.3,0.9,0.15,1.0,0,0.0,0.0
0.9,0.3,0.9,0.2,0.6,0,0.0,0.0
0.9,0.3,0.9,0.2,0.8,0,0.0,0.0
0.9,0.3,0.9,0.2,1.0,0,0.0,0.0
0.95,0.3,0.8,0.1,0.6,0,0.0,0.0
0.95,0.3,0.8,0.1,0.8,0,0.0,0.0
0.95,0.3,0.8,0.1,1.0,0,0.0,0.0
0.95,0.3,0.8,0.15,0.6,0,0.0,0.0
0.95,0.3,0.8,0.15,0.8,0,0.0,0.0
0.95,0.3,0.8,0.15,1.0,0,0.0,0.0
0.95,0.3,0.8,0.2,0.6,0,0.0,0.0
0.95,0.3,0.8,0.2,0.8,0,0.0,0.0
0.95,0.3,0.8,0.2,1.0,0,0.0,0.0
0.95,0.3,0.9,0.1,0.6,0,0.0,0.0
0.95,0.3,0.9,0.1,0.8,0,0.0,0.0
0.95,0.3,0.9,0.1,1.0,0,0.0,0.0
0.95,0.3,0.9,0.15,0.6,0,0.0,0.0
0.95,0.3,0.9,0.15,0.8,0,0.0,0.0
0.95,0.3,0.9,0.15,1.0,0,0.0,0.0
0.95,0.3,0.9,0.2,0.6,0,0.0,0.0
0.95,0.3,0.9,0.2,0.8,0,0.0,0.0
0.95,0.3,0.9,0.2,1.0,0,0.0,0.0
0.95,0.4,0.8,0.1,0.6,0,0.0,0.0
0.95,0.4,0.8,0.1,0.8,0,0.0,0.0
0.95,0.4,0.8,0.1,1.0,0,0.0,0.0
0.95,0.4,0.8,0.15,0.6,0,0.0,0.0
0.95,0.4,0.8,0.15,0.8,0,0.0,0.0
0.95,0.4,0.8,0.15,1.0,0,0.0,0.0
0.95,0.4,0.8,0.2,0.6,0,0.0,0.0
0.95,0.4,0.8,0.2,0.8,0,0.0,0.0
0.95,0.4,0.8,0.2,1.0,0,0.0,0.0
0.95,0.4,0.9,0.1,0.6,0,0.0,0.0
0.95,0.4,0.9,0.1,0.8,0,0.0,0.0
0.95,0.4,0.9,0.1,1.0,0,0.0,0.0
0.95,0.4,0.9,0.15,0.6,0,0.0,0.0
0.95,0.4,0.9,0.15,0.8,0,0.0,0.0
0.95,0.4,0.9,0.15,1.0,0,0.0,0.0
0.95,0.4,0.9,0.2,0.6,0,0.0,0.0
0.95,0.4,0.9,0.2,0.8,0,0.0,0.0
0.95,0.4,0.9,0.2,1.0,0,0.0,0.0
0.95,0.6,0.8,0.1,0.6,0,0.0,0.0
0.95,0.6,0.8,0.1,0.8,0,0.0,0.0
0.95,0.6,0.8,0.1,1.0,0,0.0,0.0
0.95,0.6,0.8,0.15,0.6,0,0.0,0.0
0.95,0.6,0.8,0.15,0.8,0,0.0,0.0
0.95,0.6,0.8,0.15,1.0,0,0.0,0.0
0.95,0.6,0.8,0.2,0.6,0,0.0,0.0
0.95,0.6,0.8,0.2,0.8,0,0.0,0.0
0.95,0.6,0.8,0.2,1.0,0,0.0,0.0
0.95,0.6,0.9,0.1,0.6,0,0.0,0.0
0.95,0.6,0.9,0.1,0.8,0,0.0,0.0
0.95,0.6,0.9,0.1,1.0,0,0.0,0.0
0.95,0.6,0.9,0.15,0.6,0,0.0,0.0
0.95,0.6,0.9,0.15,0.8,0,0.0,0.0
0.95,0.6,0.9,0.15,1.0,0,0.0,0.0
0.95,0.6,0.9,0.2,0.6,0,0.0,0.0
0.95,0.6,0.9,0.2,0.8,0,0.0,0.0
0.95,0.6,0.9,0.2,1.0,0,0.0,0.0
